GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:08,894| DISPATCHER: Leite Befehl {set_pmi,1333474450} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,901| DISPATCHER: Leite Befehl {vote,'231_2'} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,902| ### vote erhalten! Ich = '233_3'  Initiator = '231_2') ###
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,902| Leite Anfrage (vote) an den Linken Nachbarn '232_3' weiter (implizites Zustimmen)
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,911| DISPATCHER: Leite Befehl {vote,'231_5'} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,911| ### vote erhalten! Ich = '233_3'  Initiator = '231_5') ###
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,911| Leite Anfrage (vote) an den Linken Nachbarn '232_3' weiter (implizites Zustimmen)
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,913| DISPATCHER: Leite Befehl {vote,'213_2'} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,913| ### vote erhalten! Ich = '233_3'  Initiator = '213_2') ###
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,913| Leite Anfrage (vote) an den Linken Nachbarn '232_3' weiter (implizites Zustimmen)
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,912| DISPATCHER: Leite Befehl {vote,'212_3'} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,913| ### vote erhalten! Ich = '233_3'  Initiator = '212_3') ###
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,913| Leite Anfrage (vote) an den Linken Nachbarn '232_3' weiter (implizites Zustimmen)
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,913| DISPATCHER: Leite Befehl {vote,'211_1'} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,914| ### vote erhalten! Ich = '233_3'  Initiator = '211_1') ###
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,914| Leite Anfrage (vote) an den Linken Nachbarn '232_3' weiter (implizites Zustimmen)
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:54,758| DISPATCHER: Leite Befehl {set_pmi,121224950} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,770| DISPATCHER: Leite Befehl {vote,'213_2'} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,770| ### vote erhalten! Ich = '233_3'  Initiator = '213_2') ###
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,770| Leite Anfrage (vote) an den Linken Nachbarn '232_3' weiter (implizites Zustimmen)
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,772| DISPATCHER: Leite Befehl {vote,'212_3'} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,773| ### vote erhalten! Ich = '233_3'  Initiator = '212_3') ###
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,773| Leite Anfrage (vote) an den Linken Nachbarn '232_3' weiter (implizites Zustimmen)
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,773| DISPATCHER: Leite Befehl {vote,'211_1'} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,774| ### vote erhalten! Ich = '233_3'  Initiator = '211_1') ###
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,774| Leite Anfrage (vote) an den Linken Nachbarn '232_3' weiter (implizites Zustimmen)
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,774| DISPATCHER: Leite Befehl {vote,'213_1'} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,775| ### vote erhalten! Ich = '233_3'  Initiator = '213_1') ###
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,775| Leite Anfrage (vote) an den Linken Nachbarn '232_3' weiter (implizites Zustimmen)
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,775| DISPATCHER: Leite Befehl {vote,'211_3'} an meinen Worker weiter...
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,776| ### vote erhalten! Ich = '233_3'  Initiator = '211_3') ###
GGT(233_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,776| Leite Anfrage (vote) an den Linken Nachbarn '232_3' weiter (implizites Zustimmen)
