

GGT(239_1)@FloUB 17.06 21:26:21,923| ######################## 239_1 Status: SETUP ########################


GGT(239_1)@FloUB 17.06 21:26:21,924| ######################## 239_1 Status: INITIAL ########################
GGT(239_1)@FloUB 17.06 21:26:21,924| REBIND
GGT(239_1)@FloUB 17.06 21:26:21,924| CHECK_IN
GGT(239_1)@FloUB 17.06 21:26:58,924| Nachbarn wurden mitgeteilt {L: '234_1' | R: '2310_1'}
GGT(239_1)@FloUB 17.06 21:26:58,924| DISPATCHER: Leite Befehl {rebind_res,ok} an meinen Worker weiter...


GGT(239_1)@FloUB 17.06 21:26:58,924| ######################## 239_1 Status: PRE_PROCESS ########################
GGT(239_1)@FloUB 17.06 21:27:03,924| DISPATCHER: Leite Befehl {set_pmi,183584953500} an meinen Worker weiter...
GGT(239_1)@FloUB 17.06 21:27:03,924| Initial Mi wurde mitgeteilt. Mi:183584953500


GGT(239_1)@FloUB 17.06 21:27:03,924| ######################## 239_1 Status: PROCESS ########################
GGT(239_1)@FloUB 17.06 21:27:13,986| DISPATCHER: Leite Befehl {send,1275223500} an meinen Worker weiter...
GGT(239_1)@FloUB 17.06 21:27:13,986| Send erhalten Y:1275223500
GGT(239_1)@FloUB 17.06 21:27:13,002| ALGO: ((183584953500 -1) mod 1275223500) +1     --    (TTW: 5 Sekunden)
GGT(239_1)@FloUB 17.06 21:27:18,861| DISPATCHER: Leite Befehl {vote,'2310_1'} an meinen Worker weiter...
GGT(239_1)@FloUB 17.06 21:27:18,924| DISPATCHER: Leite Befehl {vote,'233_2'} an meinen Worker weiter...
GGT(239_1)@FloUB 17.06 21:27:18,924| DISPATCHER: Leite Befehl {vote,'232_2'} an meinen Worker weiter...
GGT(239_1)@FloUB 17.06 21:27:18,939| DISPATCHER: Leite Befehl {vote,'231_2'} an meinen Worker weiter...
GGT(239_1)@FloUB 17.06 21:27:18,955| DISPATCHER: Leite Befehl {vote,'231_1'} an meinen Worker weiter...
GGT(239_1)@FloUB 17.06 21:27:18,955| DISPATCHER: Leite Befehl {vote,'2310_2'} an meinen Worker weiter...
GGT(239_1)@FloUB 17.06 21:27:19,017| DISPATCHER: Leite Befehl {vote,'235_1'} an meinen Worker weiter...
GGT(239_1)@FloUB 17.06 21:27:19,017| informiere (brief_mi) Koordinator coordinatorFM ueber neuen Mi:1227993000
GGT(239_1)@FloUB 17.06 21:27:19,017| Sende (send) Nachbarn '234_1' und '2310_1' neuen Mi:1227993000
GGT(239_1)@FloUB 17.06 21:27:19,033| ### vote erhalten! Ich = '239_1'  Initiator = '2310_1') ###
GGT(239_1)@FloUB 17.06 21:27:19,033| Leite Anfrage (vote) an den Linken Nachbarn '234_1' weiter (implizites Zustimmen)
GGT(239_1)@FloUB 17.06 21:27:19,049| ### vote erhalten! Ich = '239_1'  Initiator = '233_2') ###
GGT(239_1)@FloUB 17.06 21:27:19,049| Leite Anfrage (vote) an den Linken Nachbarn '234_1' weiter (implizites Zustimmen)
GGT(239_1)@FloUB 17.06 21:27:19,049| TTT Timer ist abgelaufen. Informiere meine linken Nachbarn ('234_1') ueber vote
