GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:38:59,763| ALGO: ((14 -1) mod 2072) +1     --    (TTW: 1 Sekunden)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:00,764| Mi NICHT geaendert! (ist und bleibt: 14)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:01,765| DISPATCHER: Leite Befehl {send,518} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:01,765| Send erhalten Y:518
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:01,765| ALGO: ((14 -1) mod 518) +1     --    (TTW: 1 Sekunden)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:02,767| Mi NICHT geaendert! (ist und bleibt: 14)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,767| DISPATCHER: Leite Befehl {vote,'212_1'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,768| DISPATCHER: Leite Befehl {vote,'211_2'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,768| DISPATCHER: Leite Befehl {vote,'212_2'} an meinen Worker weiter...
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,768| ### vote erhalten! Ich = '231_3'  Initiator = '212_1') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,769| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,770| ### vote erhalten! Ich = '231_3'  Initiator = '211_2') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,770| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,771| ### vote erhalten! Ich = '231_3'  Initiator = '212_2') ###
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,771| Leite Anfrage (vote) an den Linken Nachbarn '213_3' weiter (implizites Zustimmen)
GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:39:26,553| <7023.39.0> erfragt aktuellen Mi. Sende Mi = 14


GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:45:32,532| ######################## 231_3 Status: SETUP ########################


GGT(231_3)@lab24.cpt.haw-hamburg.de 18.06 16:45:32,532| ######################## 231_3 Status: INITIAL ########################
