GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:08,894| DISPATCHER: Leite Befehl {set_pmi,297850} an meinen Worker weiter...
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,900| DISPATCHER: Leite Befehl {vote,'213_3'} an meinen Worker weiter...
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,901| ### vote erhalten! Ich = '233_4'  Initiator = '213_3') ###
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,901| Leite Anfrage (vote) an den Linken Nachbarn '213_1' weiter (implizites Zustimmen)
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| DISPATCHER: Leite Befehl {vote,'212_1'} an meinen Worker weiter...
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| ### vote erhalten! Ich = '233_4'  Initiator = '212_1') ###
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| Leite Anfrage (vote) an den Linken Nachbarn '213_1' weiter (implizites Zustimmen)
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,906| DISPATCHER: Leite Befehl {vote,'211_2'} an meinen Worker weiter...
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,906| ### vote erhalten! Ich = '233_4'  Initiator = '211_2') ###
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,906| Leite Anfrage (vote) an den Linken Nachbarn '213_1' weiter (implizites Zustimmen)
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,906| DISPATCHER: Leite Befehl {vote,'212_2'} an meinen Worker weiter...
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,907| ### vote erhalten! Ich = '233_4'  Initiator = '212_2') ###
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,908| Leite Anfrage (vote) an den Linken Nachbarn '213_1' weiter (implizites Zustimmen)
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,905| DISPATCHER: Leite Befehl {vote,'232_3'} an meinen Worker weiter...
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,906| ### vote erhalten! Ich = '233_4'  Initiator = '232_3') ###
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,906| Leite Anfrage (vote) an den Linken Nachbarn '213_1' weiter (implizites Zustimmen)
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,908| DISPATCHER: Leite Befehl {vote,'231_2'} an meinen Worker weiter...
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,908| ### vote erhalten! Ich = '233_4'  Initiator = '231_2') ###
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,908| Leite Anfrage (vote) an den Linken Nachbarn '213_1' weiter (implizites Zustimmen)
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,918| DISPATCHER: Leite Befehl {vote,'231_5'} an meinen Worker weiter...
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,918| ### vote erhalten! Ich = '233_4'  Initiator = '231_5') ###
GGT(233_4)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,918| Leite Anfrage (vote) an den Linken Nachbarn '213_1' weiter (implizites Zustimmen)
