GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:08,894| DISPATCHER: Leite Befehl {set_pmi,36039850} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,894| DISPATCHER: Leite Befehl {vote,'211_3'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,895| DISPATCHER: Leite Befehl {vote,'213_1'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,895| ### vote erhalten! Ich = '233_5'  Initiator = '211_3') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,895| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,896| ### vote erhalten! Ich = '233_5'  Initiator = '213_1') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,896| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| DISPATCHER: Leite Befehl {vote,'213_3'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| ### vote erhalten! Ich = '233_5'  Initiator = '213_3') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,906| DISPATCHER: Leite Befehl {vote,'212_1'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,907| ### vote erhalten! Ich = '233_5'  Initiator = '212_1') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,907| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,907| DISPATCHER: Leite Befehl {vote,'211_2'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,908| ### vote erhalten! Ich = '233_5'  Initiator = '211_2') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,908| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,909| DISPATCHER: Leite Befehl {vote,'212_2'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,909| ### vote erhalten! Ich = '233_5'  Initiator = '212_2') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,909| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,907| DISPATCHER: Leite Befehl {vote,'232_3'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,907| ### vote erhalten! Ich = '233_5'  Initiator = '232_3') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,907| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,909| DISPATCHER: Leite Befehl {vote,'231_2'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,909| ### vote erhalten! Ich = '233_5'  Initiator = '231_2') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,909| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,919| DISPATCHER: Leite Befehl {vote,'231_5'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,919| ### vote erhalten! Ich = '233_5'  Initiator = '231_5') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,919| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,921| DISPATCHER: Leite Befehl {vote,'213_2'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,921| ### vote erhalten! Ich = '233_5'  Initiator = '213_2') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,922| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,923| DISPATCHER: Leite Befehl {vote,'212_3'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,923| ### vote erhalten! Ich = '233_5'  Initiator = '212_3') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,923| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,924| DISPATCHER: Leite Befehl {vote,'211_1'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,925| ### vote erhalten! Ich = '233_5'  Initiator = '211_1') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,925| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:54,759| DISPATCHER: Leite Befehl {set_pmi,22923310410} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,758| DISPATCHER: Leite Befehl {vote,'213_1'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,759| ### vote erhalten! Ich = '233_5'  Initiator = '213_1') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,759| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,761| DISPATCHER: Leite Befehl {vote,'211_3'} an meinen Worker weiter...
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,761| ### vote erhalten! Ich = '233_5'  Initiator = '211_3') ###
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,761| Leite Anfrage (vote) an den Linken Nachbarn '232_2' weiter (implizites Zustimmen)
GGT(233_5)@lab24.cpt.haw-hamburg.de 18.06 16:38:59,765| DISPATCHER: Leite Befehl {vote,'213_3'} an meinen Worker weiter...
