GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:08,894| DISPATCHER: Leite Befehl {set_pmi,50431282902} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,906| DISPATCHER: Leite Befehl {vote,'231_5'} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,906| ### vote erhalten! Ich = '233_2'  Initiator = '231_5') ###
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,906| Leite Anfrage (vote) an den Linken Nachbarn '232_1' weiter (implizites Zustimmen)
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,908| DISPATCHER: Leite Befehl {vote,'213_2'} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,909| ### vote erhalten! Ich = '233_2'  Initiator = '213_2') ###
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,909| Leite Anfrage (vote) an den Linken Nachbarn '232_1' weiter (implizites Zustimmen)
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,907| DISPATCHER: Leite Befehl {vote,'212_3'} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,908| ### vote erhalten! Ich = '233_2'  Initiator = '212_3') ###
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,908| Leite Anfrage (vote) an den Linken Nachbarn '232_1' weiter (implizites Zustimmen)
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,909| DISPATCHER: Leite Befehl {vote,'211_1'} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,909| ### vote erhalten! Ich = '233_2'  Initiator = '211_1') ###
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,909| Leite Anfrage (vote) an den Linken Nachbarn '232_1' weiter (implizites Zustimmen)
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:54,759| DISPATCHER: Leite Befehl {set_pmi,858858} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,762| DISPATCHER: Leite Befehl {vote,'213_2'} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,762| ### vote erhalten! Ich = '233_2'  Initiator = '213_2') ###
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,763| Leite Anfrage (vote) an den Linken Nachbarn '232_1' weiter (implizites Zustimmen)
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,763| DISPATCHER: Leite Befehl {vote,'212_3'} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,763| ### vote erhalten! Ich = '233_2'  Initiator = '212_3') ###
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,764| Leite Anfrage (vote) an den Linken Nachbarn '232_1' weiter (implizites Zustimmen)
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,764| DISPATCHER: Leite Befehl {vote,'211_1'} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,766| DISPATCHER: Leite Befehl {vote,'213_1'} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,766| ### vote erhalten! Ich = '233_2'  Initiator = '211_1') ###
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,766| Leite Anfrage (vote) an den Linken Nachbarn '232_1' weiter (implizites Zustimmen)
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,768| ### vote erhalten! Ich = '233_2'  Initiator = '213_1') ###
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,768| DISPATCHER: Leite Befehl {vote,'211_3'} an meinen Worker weiter...
GGT(233_2)@lab24.cpt.haw-hamburg.de 18.06 16:38:58,768| Leite Anfrage (vote) an den Linken Nachbarn '232_1' weiter (implizites Zustimmen)
