

GGT(233_2)@FloUB 17.06 21:26:29,423| ######################## 233_2 Status: SETUP ########################


GGT(233_2)@FloUB 17.06 21:26:29,424| ######################## 233_2 Status: INITIAL ########################
GGT(233_2)@FloUB 17.06 21:26:29,424| REBIND
GGT(233_2)@FloUB 17.06 21:26:29,424| CHECK_IN
GGT(233_2)@FloUB 17.06 21:26:58,877| Nachbarn wurden mitgeteilt {L: '238_1' | R: '232_2'}
GGT(233_2)@FloUB 17.06 21:26:58,877| DISPATCHER: Leite Befehl {rebind_res,ok} an meinen Worker weiter...


GGT(233_2)@FloUB 17.06 21:26:58,877| ######################## 233_2 Status: PRE_PROCESS ########################
GGT(233_2)@FloUB 17.06 21:27:03,877| DISPATCHER: Leite Befehl {set_pmi,222007500} an meinen Worker weiter...
GGT(233_2)@FloUB 17.06 21:27:03,877| Initial Mi wurde mitgeteilt. Mi:222007500


GGT(233_2)@FloUB 17.06 21:27:03,877| ######################## 233_2 Status: PROCESS ########################
GGT(233_2)@FloUB 17.06 21:27:18,877| TTT Timer ist abgelaufen. Informiere meine linken Nachbarn ('238_1') ueber vote
GGT(233_2)@FloUB 17.06 21:27:18,877| DISPATCHER: Leite Befehl {vote,'232_2'} an meinen Worker weiter...
GGT(233_2)@FloUB 17.06 21:27:18,891| DISPATCHER: Leite Befehl {vote,'231_2'} an meinen Worker weiter...
GGT(233_2)@FloUB 17.06 21:27:18,892| ### vote erhalten! Ich = '233_2'  Initiator = '232_2') ###
GGT(233_2)@FloUB 17.06 21:27:18,892| Leite Anfrage (vote) an den Linken Nachbarn '238_1' weiter (implizites Zustimmen)
GGT(233_2)@FloUB 17.06 21:27:18,892| DISPATCHER: Leite Befehl {vote,'231_1'} an meinen Worker weiter...
GGT(233_2)@FloUB 17.06 21:27:18,892| ### vote erhalten! Ich = '233_2'  Initiator = '231_2') ###
GGT(233_2)@FloUB 17.06 21:27:18,892| Leite Anfrage (vote) an den Linken Nachbarn '238_1' weiter (implizites Zustimmen)
GGT(233_2)@FloUB 17.06 21:27:18,908| ### vote erhalten! Ich = '233_2'  Initiator = '231_1') ###
GGT(233_2)@FloUB 17.06 21:27:18,908| Leite Anfrage (vote) an den Linken Nachbarn '238_1' weiter (implizites Zustimmen)
GGT(233_2)@FloUB 17.06 21:27:18,924| DISPATCHER: Leite Befehl {vote,'2310_2'} an meinen Worker weiter...
GGT(233_2)@FloUB 17.06 21:27:18,924| ### vote erhalten! Ich = '233_2'  Initiator = '2310_2') ###
GGT(233_2)@FloUB 17.06 21:27:18,924| Leite Anfrage (vote) an den Linken Nachbarn '238_1' weiter (implizites Zustimmen)
GGT(233_2)@FloUB 17.06 21:27:18,971| DISPATCHER: Leite Befehl {vote,'235_1'} an meinen Worker weiter...
GGT(233_2)@FloUB 17.06 21:27:18,986| ### vote erhalten! Ich = '233_2'  Initiator = '235_1') ###
GGT(233_2)@FloUB 17.06 21:27:18,986| Leite Anfrage (vote) an den Linken Nachbarn '238_1' weiter (implizites Zustimmen)
GGT(233_2)@FloUB 17.06 21:27:19,017| DISPATCHER: Leite Befehl {vote,'232_1'} an meinen Worker weiter...
