GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:08,893| DISPATCHER: Leite Befehl {set_pmi,303030} an meinen Worker weiter...
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,899| DISPATCHER: Leite Befehl {vote,'213_3'} an meinen Worker weiter...
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,900| ### vote erhalten! Ich = '231_1'  Initiator = '213_3') ###
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,900| Leite Anfrage (vote) an den Linken Nachbarn '233_4' weiter (implizites Zustimmen)
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,901| DISPATCHER: Leite Befehl {vote,'212_1'} an meinen Worker weiter...
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,901| ### vote erhalten! Ich = '231_1'  Initiator = '212_1') ###
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,901| Leite Anfrage (vote) an den Linken Nachbarn '233_4' weiter (implizites Zustimmen)
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| DISPATCHER: Leite Befehl {vote,'211_2'} an meinen Worker weiter...
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| ### vote erhalten! Ich = '231_1'  Initiator = '211_2') ###
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| Leite Anfrage (vote) an den Linken Nachbarn '233_4' weiter (implizites Zustimmen)
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| DISPATCHER: Leite Befehl {vote,'212_2'} an meinen Worker weiter...
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,906| ### vote erhalten! Ich = '231_1'  Initiator = '212_2') ###
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,906| Leite Anfrage (vote) an den Linken Nachbarn '233_4' weiter (implizites Zustimmen)
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,905| DISPATCHER: Leite Befehl {vote,'232_3'} an meinen Worker weiter...
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,905| ### vote erhalten! Ich = '231_1'  Initiator = '232_3') ###
GGT(231_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,905| Leite Anfrage (vote) an den Linken Nachbarn '233_4' weiter (implizites Zustimmen)
