

GGT(2310_1)@FloUB 17.06 21:26:22,032| ######################## 2310_1 Status: SETUP ########################


GGT(2310_1)@FloUB 17.06 21:26:22,033| ######################## 2310_1 Status: INITIAL ########################
GGT(2310_1)@FloUB 17.06 21:26:22,033| REBIND
GGT(2310_1)@FloUB 17.06 21:26:22,033| CHECK_IN
GGT(2310_1)@FloUB 17.06 21:26:58,846| Nachbarn wurden mitgeteilt {L: '239_1' | R: '238_1'}
GGT(2310_1)@FloUB 17.06 21:26:58,846| DISPATCHER: Leite Befehl {rebind_res,ok} an meinen Worker weiter...


GGT(2310_1)@FloUB 17.06 21:26:58,846| ######################## 2310_1 Status: PRE_PROCESS ########################
GGT(2310_1)@FloUB 17.06 21:27:03,846| DISPATCHER: Leite Befehl {set_pmi,141691500} an meinen Worker weiter...
GGT(2310_1)@FloUB 17.06 21:27:03,846| Initial Mi wurde mitgeteilt. Mi:141691500


GGT(2310_1)@FloUB 17.06 21:27:03,846| ######################## 2310_1 Status: PROCESS ########################
GGT(2310_1)@FloUB 17.06 21:27:18,861| TTT Timer ist abgelaufen. Informiere meine linken Nachbarn ('239_1') ueber vote
GGT(2310_1)@FloUB 17.06 21:27:18,892| DISPATCHER: Leite Befehl {vote,'233_2'} an meinen Worker weiter...
GGT(2310_1)@FloUB 17.06 21:27:18,908| ### vote erhalten! Ich = '2310_1'  Initiator = '233_2') ###
GGT(2310_1)@FloUB 17.06 21:27:18,908| DISPATCHER: Leite Befehl {vote,'232_2'} an meinen Worker weiter...
GGT(2310_1)@FloUB 17.06 21:27:18,908| Leite Anfrage (vote) an den Linken Nachbarn '239_1' weiter (implizites Zustimmen)
GGT(2310_1)@FloUB 17.06 21:27:18,924| DISPATCHER: Leite Befehl {vote,'231_2'} an meinen Worker weiter...
GGT(2310_1)@FloUB 17.06 21:27:18,924| ### vote erhalten! Ich = '2310_1'  Initiator = '232_2') ###
GGT(2310_1)@FloUB 17.06 21:27:18,924| Leite Anfrage (vote) an den Linken Nachbarn '239_1' weiter (implizites Zustimmen)
GGT(2310_1)@FloUB 17.06 21:27:18,939| DISPATCHER: Leite Befehl {vote,'231_1'} an meinen Worker weiter...
GGT(2310_1)@FloUB 17.06 21:27:18,939| ### vote erhalten! Ich = '2310_1'  Initiator = '231_2') ###
GGT(2310_1)@FloUB 17.06 21:27:18,939| Leite Anfrage (vote) an den Linken Nachbarn '239_1' weiter (implizites Zustimmen)
GGT(2310_1)@FloUB 17.06 21:27:18,939| DISPATCHER: Leite Befehl {vote,'2310_2'} an meinen Worker weiter...
GGT(2310_1)@FloUB 17.06 21:27:18,939| ### vote erhalten! Ich = '2310_1'  Initiator = '231_1') ###
GGT(2310_1)@FloUB 17.06 21:27:18,955| Leite Anfrage (vote) an den Linken Nachbarn '239_1' weiter (implizites Zustimmen)
GGT(2310_1)@FloUB 17.06 21:27:18,955| ### vote erhalten! Ich = '2310_1'  Initiator = '2310_2') ###
GGT(2310_1)@FloUB 17.06 21:27:18,955| Leite Anfrage (vote) an den Linken Nachbarn '239_1' weiter (implizites Zustimmen)
