

GGT(235_2)@FloUB 17.06 21:26:29,641| ######################## 235_2 Status: SETUP ########################


GGT(235_2)@FloUB 17.06 21:26:29,642| ######################## 235_2 Status: INITIAL ########################
GGT(235_2)@FloUB 17.06 21:26:29,642| REBIND
GGT(235_2)@FloUB 17.06 21:26:29,642| CHECK_IN
GGT(235_2)@FloUB 17.06 21:26:58,892| Nachbarn wurden mitgeteilt {L: '238_2' | R: '232_1'}
GGT(235_2)@FloUB 17.06 21:26:58,892| DISPATCHER: Leite Befehl {rebind_res,ok} an meinen Worker weiter...


GGT(235_2)@FloUB 17.06 21:26:58,892| ######################## 235_2 Status: PRE_PROCESS ########################
GGT(235_2)@FloUB 17.06 21:27:03,892| DISPATCHER: Leite Befehl {set_pmi,14121919500} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:27:03,892| Initial Mi wurde mitgeteilt. Mi:14121919500


GGT(235_2)@FloUB 17.06 21:27:03,892| ######################## 235_2 Status: PROCESS ########################
GGT(235_2)@FloUB 17.06 21:27:18,861| DISPATCHER: Leite Befehl {vote,'232_1'} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:27:18,861| ### vote erhalten! Ich = '235_2'  Initiator = '232_1') ###
GGT(235_2)@FloUB 17.06 21:27:18,877| Leite Anfrage (vote) an den Linken Nachbarn '238_2' weiter (implizites Zustimmen)
GGT(235_2)@FloUB 17.06 21:27:23,986| DISPATCHER: Leite Befehl {vote,'234_2'} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:27:23,986| ### vote erhalten! Ich = '235_2'  Initiator = '234_2') ###
GGT(235_2)@FloUB 17.06 21:27:23,986| Leite Anfrage (vote) an den Linken Nachbarn '238_2' weiter (implizites Zustimmen)
GGT(235_2)@FloUB 17.06 21:27:34,111| DISPATCHER: Leite Befehl {vote,'235_1'} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:27:34,127| ### vote erhalten! Ich = '235_2'  Initiator = '235_1') ###
GGT(235_2)@FloUB 17.06 21:27:34,127| Leite Anfrage (vote) an den Linken Nachbarn '238_2' weiter (implizites Zustimmen)
GGT(235_2)@FloUB 17.06 21:28:14,361| DISPATCHER: Leite Befehl {send,2700} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:28:14,361| Send erhalten Y:2700
GGT(235_2)@FloUB 17.06 21:28:14,361| ALGO: ((14121919500 -1) mod 2700) +1     --    (TTW: 5 Sekunden)
GGT(235_2)@FloUB 17.06 21:28:19,377| informiere (brief_mi) Koordinator coordinatorFM ueber neuen Mi:1500
GGT(235_2)@FloUB 17.06 21:28:19,392| Sende (send) Nachbarn '238_2' und '232_1' neuen Mi:1500
GGT(235_2)@FloUB 17.06 21:28:24,424| DISPATCHER: Leite Befehl {send,1200} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:28:24,424| Send erhalten Y:1200
GGT(235_2)@FloUB 17.06 21:28:24,424| ALGO: ((1500 -1) mod 1200) +1     --    (TTW: 5 Sekunden)
GGT(235_2)@FloUB 17.06 21:28:24,424| DISPATCHER: Leite Befehl {send,1500} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:28:29,439| informiere (brief_mi) Koordinator coordinatorFM ueber neuen Mi:300
GGT(235_2)@FloUB 17.06 21:28:29,439| Sende (send) Nachbarn '238_2' und '232_1' neuen Mi:300
GGT(235_2)@FloUB 17.06 21:28:29,439| Send erhalten Y:1500
GGT(235_2)@FloUB 17.06 21:28:29,455| ALGO: ((300 -1) mod 1500) +1     --    (TTW: 5 Sekunden)
GGT(235_2)@FloUB 17.06 21:28:34,391| DISPATCHER: Leite Befehl {send,300} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:28:34,455| DISPATCHER: Leite Befehl {send,300} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:28:34,471| Mi NICHT geaendert! (ist und bleibt: 300)
GGT(235_2)@FloUB 17.06 21:28:34,471| Send erhalten Y:300
GGT(235_2)@FloUB 17.06 21:28:34,471| ALGO: ((300 -1) mod 300) +1     --    (TTW: 5 Sekunden)
GGT(235_2)@FloUB 17.06 21:28:39,486| Mi NICHT geaendert! (ist und bleibt: 300)
GGT(235_2)@FloUB 17.06 21:28:39,486| Send erhalten Y:300
GGT(235_2)@FloUB 17.06 21:28:39,486| ALGO: ((300 -1) mod 300) +1     --    (TTW: 5 Sekunden)
GGT(235_2)@FloUB 17.06 21:28:44,502| Mi NICHT geaendert! (ist und bleibt: 300)
GGT(235_2)@FloUB 17.06 21:28:54,580| DISPATCHER: Leite Befehl {vote,'233_1'} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:28:54,596| ### vote erhalten! Ich = '235_2'  Initiator = '233_1') ###
GGT(235_2)@FloUB 17.06 21:28:54,596| Leite Anfrage (vote) an den Linken Nachbarn '238_2' weiter (implizites Zustimmen)
GGT(235_2)@FloUB 17.06 21:28:54,596| DISPATCHER: Leite Befehl {vote,'236_1'} an meinen Worker weiter...
GGT(235_2)@FloUB 17.06 21:28:54,596| ### vote erhalten! Ich = '235_2'  Initiator = '236_1') ###
GGT(235_2)@FloUB 17.06 21:28:54,596| Leite Anfrage (vote) an den Linken Nachbarn '238_2' weiter (implizites Zustimmen)


GGT(235_2)@FloUB 17.06 21:31:45,096| ######################## 235_2 Status: KILLED :( ########################
