GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:08,893| DISPATCHER: Leite Befehl {set_pmi,81466} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,898| DISPATCHER: Leite Befehl {vote,'213_3'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,899| ### vote erhalten! Ich = '233_1'  Initiator = '213_3') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,899| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,899| DISPATCHER: Leite Befehl {vote,'212_1'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,900| ### vote erhalten! Ich = '233_1'  Initiator = '212_1') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,900| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,900| DISPATCHER: Leite Befehl {vote,'211_2'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,901| ### vote erhalten! Ich = '233_1'  Initiator = '211_2') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,901| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,901| DISPATCHER: Leite Befehl {vote,'212_2'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| ### vote erhalten! Ich = '233_1'  Initiator = '212_2') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:12,903| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,904| DISPATCHER: Leite Befehl {vote,'232_3'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,904| ### vote erhalten! Ich = '233_1'  Initiator = '232_3') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,904| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,906| DISPATCHER: Leite Befehl {vote,'231_2'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,906| ### vote erhalten! Ich = '233_1'  Initiator = '231_2') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:13,907| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,916| DISPATCHER: Leite Befehl {vote,'231_5'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,916| ### vote erhalten! Ich = '233_1'  Initiator = '231_5') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,916| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,918| DISPATCHER: Leite Befehl {vote,'213_2'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,918| ### vote erhalten! Ich = '233_1'  Initiator = '213_2') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:21,918| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,918| DISPATCHER: Leite Befehl {vote,'212_3'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,918| ### vote erhalten! Ich = '233_1'  Initiator = '212_3') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,918| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,919| DISPATCHER: Leite Befehl {vote,'211_1'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,919| ### vote erhalten! Ich = '233_1'  Initiator = '211_1') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:22,919| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:54,758| DISPATCHER: Leite Befehl {set_pmi,64414350} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:59,761| DISPATCHER: Leite Befehl {vote,'213_3'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:59,762| ### vote erhalten! Ich = '233_1'  Initiator = '213_3') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:38:59,762| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,770| DISPATCHER: Leite Befehl {vote,'212_1'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,771| ### vote erhalten! Ich = '233_1'  Initiator = '212_1') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,771| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,772| DISPATCHER: Leite Befehl {vote,'211_2'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,772| ### vote erhalten! Ich = '233_1'  Initiator = '211_2') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,772| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,773| DISPATCHER: Leite Befehl {vote,'212_2'} an meinen Worker weiter...
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,773| ### vote erhalten! Ich = '233_1'  Initiator = '212_2') ###
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:39:05,773| Leite Anfrage (vote) an den Linken Nachbarn '231_1' weiter (implizites Zustimmen)
GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:39:26,552| <7023.39.0> erfragt aktuellen Mi. Sende Mi = 14


GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:45:26,279| ######################## 233_1 Status: SETUP ########################


GGT(233_1)@lab24.cpt.haw-hamburg.de 18.06 16:45:26,279| ######################## 233_1 Status: INITIAL ########################
